Gene	Accession	RPKM_LowMyc	SpikeIn_renormalized_LowMyc
C4orf40	NM_214711	0.00E+00	0.00E+00
KLRC1	NM_213658	0.048445592	0.000207336
RTN4	NM_207521	2.012486027	0.926207773
SLC27A1	NM_198580	3.204745241	1.487558588
KRT24	NM_019016	0.00E+00	0.00E+00
CHPF2	NM_019015	31.11221693	14.28003205
POLR1B	NM_019014	2.347407929	1.092141228
FAM64A	NM_019013	0.930491101	0.423400077
PLEKHA5	NM_019012	0.00E+00	0.00E+00
KRT20	NM_019010	0.00E+00	0.00E+00
TOLLIP	NM_019009	4.996865016	2.324604788
SMCR7L	NM_019008	7.668397878	3.566175824
ARMCX6	NM_019007	4.969205694	2.311609967
ZFAND6	NM_019006	13.774285	6.404912682
LRRK2	NM_198578	5.501917694	2.545549523
MIOS	NM_019005	10.5982642	4.929763681
ANKIB1	NM_019004	7.161138454	3.33192779
SPIN2A	NM_019003	1.052419888	0.478305054
ETAA1	NM_019002	3.758135828	1.743949723
XRN1	NM_019001	5.498101878	2.54906996
FAM134B	NM_019000	0.00E+00	2.08E-09
FAM190B	NM_018999	1.331653423	0.602720074
FBXW5	NM_018998	57.22811909	25.16049214
MRPS21	NM_018997	14.62812464	6.745821973
TNRC6C	NM_018996	2.894203627	1.339802487
AGRN	NM_198576	14.31579484	6.551185377
MOV10L1	NM_018995	0.002453193	4.07E-06
FBXO42	NM_018994	8.245973739	3.835781258
RIN2	NM_018993	0.034285209	0.000131643
KCTD5	NM_018992	20.14370134	9.269684815
SASH3	NM_018990	150.1511248	65.67635119
RBM27	NM_018989	7.267105506	3.380984488
GFOD1	NM_018988	0.900887745	0.410597858
SH3TC1	NM_018986	18.25015256	8.399465127
SSH1	NM_018984	6.331629597	2.945850538
GAR1	NM_018983	7.62332211	3.527409005
ENHO	NM_198573	0.00E+00	0.00E+00
YIPF1	NM_018982	6.777278728	3.149602791
DNAJC10	NM_018981	13.87681124	6.452561443
TAS2R5	NM_018980	0.35452695	0.157173597
WNK1	NM_018979	16.99889469	7.899027722
NLGN3	NM_018977	1.209391753	0.546797311
SLC38A2	NM_018976	27.1104371	12.6009514
TERF2IP	NM_018975	21.60740142	9.94115497
UNC93A	NM_018974	0.00E+00	0.00E+00
DPM3	NM_018973	18.85128565	8.585152992
GDAP1	NM_018972	1.505140957	0.686404807
SPATC1	NM_198572	0.610281213	0.273911738
GPR27	NM_018971	0.00E+00	0.00E+00
GPR85	NM_018970	0.00E+00	0.00E+00
GPR173	NM_018969	0.00E+00	0.00E+00
SNTG2	NM_018968	0.00E+00	0.00E+00
SNTG1	NM_018967	0.00E+00	0.00E+00
TREM2	NM_018965	0.046181187	0.000194703
SLC37A1	NM_018964	53.15476136	24.16497696
BRWD1	NM_018963	3.056813855	1.406663827
